Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alavés,22,27.5,,38,418,,,39,22,35,4,4,117,8,1.03,0.58,1.61,0.92,1.50
Athletic Club,26,26.6,,38,418,,,54,31,50,4,5,92,6,1.42,0.82,2.24,1.32,2.13
Barcelona,24,25.7,,38,418,,,63,35,60,3,4,81,3,1.66,0.92,2.58,1.58,2.50
Betis,26,25.6,,38,417,,,40,26,33,7,9,104,7,1.05,0.68,1.74,0.87,1.55
Celta Vigo,24,27.6,,38,418,,,63,31,58,5,8,103,10,1.66,0.82,2.47,1.53,2.34
Espanyol,28,24.0,,38,418,,,47,28,42,5,7,112,8,1.24,0.74,1.97,1.11,1.84
La Coruña,25,28.1,,38,418,,,64,42,60,4,6,73,4,1.68,1.11,2.79,1.58,2.68
Las Palmas,25,27.0,,38,418,,,40,18,29,11,12,108,7,1.05,0.47,1.53,0.76,1.24
Málaga,25,27.2,,38,418,,,43,25,38,5,5,111,8,1.13,0.66,1.79,1.00,1.66
Mallorca,24,27.6,,38,418,,,40,24,35,5,6,80,5,1.05,0.63,1.68,0.92,1.55
Osasuna,26,27.4,,38,418,,,34,22,33,1,2,83,4,0.89,0.58,1.47,0.87,1.45
Rayo Vallecano,26,28.1,,38,412,,,41,26,35,6,7,82,10,1.08,0.68,1.76,0.92,1.61
Real Madrid,24,26.5,,38,413,,,66,39,62,4,4,78,2,1.74,1.03,2.76,1.63,2.66
Real Sociedad,26,26.4,,38,418,,,48,31,45,3,3,81,4,1.26,0.82,2.08,1.18,2.00
Sevilla,25,26.7,,38,425,,,51,29,43,8,8,110,8,1.34,0.76,2.11,1.13,1.89
Tenerife,29,26.5,,38,418,,,32,18,29,3,4,108,8,0.84,0.47,1.32,0.76,1.24
Valencia,24,26.8,,38,418,,,50,31,49,1,2,100,5,1.32,0.82,2.13,1.29,2.11
Valladolid,25,26.5,,38,418,,,45,24,38,7,9,84,3,1.18,0.63,1.82,1.00,1.63
Villarreal,21,26.9,,38,418,,,46,27,42,4,4,107,4,1.21,0.71,1.92,1.11,1.82
Zaragoza,27,28.3,,38,416,,,35,19,32,3,5,83,6,0.92,0.50,1.42,0.84,1.34
